Completion_Time,Feedback_Rating,Attendance,Performance_Score,Predicted_Score,Performance_Category
2.58,2.98,71.2,74.1,73.30935000000015,Average
7.0,3.63,61.4,61.02,57.542300000000175,Struggle
3.17,3.96,53.5,77.93,78.4083500000001,Excel
6.81,3.37,76.78,47.68,52.02030000000011,Struggle
4.44,3.65,3.74,56.87,62.10110000000016,Average
3.92,1.05,86.9,64.93,63.447100000000134,Average
4.15,3.12,66.37,58.41,63.40794999999992,Average
4.78,3.44,3.34,87.76,77.76770000000016,Excel
3.49,4.5,88.45,70.81,78.48730000000019,Excel
1.75,3.2,28.73,85.78,82.71390000000015,Excel
4.9,2.32,11.96,52.28,53.66580000000009,Struggle
2.77,3.09,55.91,80.96,79.79319999999971,Excel
1.25,1.0,3.33,78.44,75.68980000000006,Excel
5.28,4.0,91.83,76.7,77.39855000000018,Excel
2.03,2.9,64.76,60.79,76.15355000000001,Excel
6.21,2.18,44.04,57.45,57.34325000000007,Struggle
6.43,1.66,89.64,45.35,49.5833500000001,Struggle
6.0,4.5,96.89,64.3,68.11179999999987,Average
3.5,3.07,88.96,72.88,74.66054999999984,Average
1.41,2.87,5.03,78.77,79.30095000000014,Excel
7.0,3.87,62.13,73.31,53.407699999999984,Struggle
3.48,1.44,40.3,60.39,60.60519999999994,Average
6.32,5.0,61.68,58.89,61.981349999999885,Average
6.51,4.0,90.4,74.13,74.13745000000013,Average
6.21,2.68,69.35,37.4,43.30844999999987,Struggle
3.23,3.6,61.59,86.54,82.6363500000003,Excel
2.91,1.01,66.83,55.26,65.05064999999996,Average
5.73,2.87,91.21,45.19,55.24789999999995,Struggle
3.92,3.41,42.07,67.23,64.65719999999979,Average
3.92,2.87,72.01,97.53,86.56215000000013,Excel
4.09,1.0,66.83,49.12,52.85745000000011,Struggle
6.93,1.35,53.51,52.19,47.96754999999993,Struggle
4.81,4.61,97.41,67.83,70.26054999999995,Average
4.85,5.0,78.68,81.03,80.9931500000002,Excel
1.28,1.8,54.1,67.66,62.018650000000086,Average
4.27,3.53,63.06,72.83,70.71959999999994,Average
6.78,1.72,93.29,64.95,61.3672500000001,Average
1.53,3.48,45.62,86.99,85.73304999999995,Excel
4.14,5.0,96.36,90.39,88.89219999999995,Excel
3.92,4.09,53.24,60.4,63.986299999999886,Average
5.43,1.0,55.66,34.07,43.84474999999994,Struggle
5.34,1.88,79.84,59.19,59.07815000000003,Struggle
5.07,2.39,67.7,53.6,63.486900000000006,Average
2.69,2.04,73.21,67.28,70.47370000000015,Average
3.23,2.87,66.4,69.27,68.9631500000002,Average
6.18,1.54,70.24,49.57,50.76564999999991,Struggle
5.43,2.53,91.13,59.18,59.45120000000011,Struggle
6.15,4.0,79.67,73.16,73.3056999999999,Average
3.92,1.15,99.87,50.1,58.58155250000011,Struggle
3.76,2.69,89.34,87.43,77.24665,Excel
4.09,1.0,63.68,68.06,61.75365,Average
5.82,3.29,63.22,58.39,59.15974999999993,Struggle
4.61,5.0,66.79,77.1,76.62290000000016,Excel
4.85,2.24,92.16,58.56,63.20975000000001,Average
6.03,2.52,9.8,44.52,48.91915000000014,Struggle
6.16,1.64,27.5,43.47,45.76160000000001,Struggle
2.77,4.1,69.96,74.49,75.79354999999984,Excel
3.49,3.7,81.99,88.46,82.36169999999974,Excel
1.8,5.0,0.0,88.24,92.03667833333324,Excel
4.25,2.24,60.96,48.52,52.52025000000019,Struggle
1.59,1.23,0.14,68.62,70.27645000000021,Average
3.98,1.71,94.69,69.64,68.02764999999995,Average
4.11,1.19,62.81,49.9,53.500349999999855,Struggle
2.65,1.48,50.2,77.44,72.9967000000001,Average
4.77,2.37,91.73,58.8,62.8049499999999,Average
1.0,4.69,0.07,85.31,87.6465,Excel
1.19,1.0,2.4,65.39,65.59919999999997,Average
6.09,3.87,75.92,47.45,72.39274999999988,Average
3.2,3.51,57.92,89.14,82.29404999999991,Excel
1.87,2.74,66.3,79.46,78.47439999999978,Excel
4.18,2.87,57.83,85.64,80.34279999999985,Excel
5.32,5.0,85.44,76.56,77.4571499999999,Excel
2.2,3.24,76.97,74.23,75.7296499999998,Excel
4.77,1.0,68.51,50.07,51.43299999999992,Struggle
1.79,5.0,18.48,87.01,86.99742000000006,Excel
1.46,5.0,66.13,100.0,97.17379999999996,Excel
4.12,4.0,64.66,73.02,75.4998000000002,Excel
4.71,1.8,82.74,50.93,51.491500000000094,Struggle
4.43,4.79,52.01,74.55,66.78455000000001,Average
5.07,1.83,80.48,55.53,55.699350000000095,Struggle
6.7,1.9,85.86,64.18,57.98860000000006,Struggle
3.83,5.0,68.44,79.91,78.77143749999999,Excel
3.07,3.54,60.77,62.92,68.10435000000007,Average
5.31,5.0,76.88,74.35,74.82995000000014,Average
2.3,2.04,91.66,69.28,69.94225000000016,Average
3.42,4.0,66.18,87.04,84.79350000000022,Excel
1.65,2.93,62.62,70.75,76.99504999999994,Excel
1.53,3.81,1.01,92.23,90.20724999999976,Excel
7.0,2.81,76.31,43.63,48.28444999999995,Struggle
5.7,2.84,67.96,59.05,56.25204999999993,Struggle
5.25,2.13,14.07,55.72,51.89370000000001,Struggle
2.98,2.71,89.08,71.14,81.04924999999979,Excel
1.85,1.0,84.96,67.25,66.94754999999998,Average
2.25,4.62,56.43,80.1,81.83135000000001,Excel
2.46,1.0,99.25,74.15,73.24569999999983,Average
3.95,4.01,80.4,71.83,74.79209999999995,Average
5.23,2.81,0.0,55.53,67.02850000000002,Average
4.66,4.62,69.11,80.73,74.60064999999977,Average
2.57,1.0,94.93,56.25,63.655000000000015,Average
6.72,1.6,62.2,35.67,41.257200000000005,Struggle
5.28,1.0,64.29,50.89,50.81966500000001,Struggle
4.77,2.46,56.12,58.22,57.688749999999935,Struggle
4.73,2.87,87.96,62.15,64.40299999999985,Average
3.86,2.77,79.78,67.59,65.66160000000009,Average
2.75,4.0,80.45,89.55,90.62409999999976,Excel
3.3,3.65,60.92,74.7,71.14040000000001,Average
5.55,4.92,57.72,63.48,64.87329999999982,Average
1.0,1.8,2.6,67.15,64.81359999999982,Average
1.81,3.58,66.83,84.1,76.42380000000004,Excel
1.14,1.0,1.77,73.74,66.67339999999999,Average
1.0,4.95,0.29,88.64,86.94864999999996,Excel
6.07,1.0,61.55,46.52,46.56130000000014,Struggle
5.46,1.0,27.09,53.19,51.40209999999996,Struggle
4.31,3.2,77.56,62.61,61.45070000000004,Average
1.46,4.24,98.48,100.0,97.32475000000005,Excel
3.99,2.31,99.06,59.62,63.7481500000001,Average
4.19,1.26,64.09,71.53,68.27280000000006,Average
1.87,2.37,46.74,62.71,65.49304999999981,Average
3.24,4.62,53.15,75.38,76.38014999999977,Excel
3.17,5.0,93.67,92.46,91.2793999999997,Excel
5.1,2.54,78.43,60.35,61.42020000000016,Average
4.47,3.75,69.26,59.78,68.70660000000002,Average
1.1,5.0,9.09,92.66,91.82015000000027,Excel
3.21,2.08,66.83,79.05,71.34479999999981,Average
5.11,1.0,76.51,65.53,47.548200000000016,Struggle
4.46,4.11,64.15,64.49,66.2686999999999,Average
6.07,1.76,66.83,63.74,59.15459999999988,Struggle
5.38,1.23,33.4,46.39,48.17200000000005,Struggle
1.64,4.08,80.09,93.69,83.19730000000001,Excel
1.08,2.54,96.5,84.07,84.81864999999983,Excel
5.3,1.0,92.83,56.42,54.320950000000046,Struggle
1.17,3.14,0.08,91.55,87.22984999999983,Excel
4.2,2.31,66.83,61.01,60.61515000000014,Average
6.63,1.0,71.16,40.36,42.87989999999995,Struggle
4.73,4.34,62.62,64.06,65.11775,Average
3.66,4.0,99.17,95.43,85.52220000000005,Excel
5.22,4.35,65.19,72.55,71.48244999999986,Average
3.82,4.63,66.19,79.58,76.97524999999997,Excel
4.64,4.27,99.48,84.79,82.75640000000026,Excel
6.66,1.0,56.7,27.63,32.322650000000046,Struggle
3.43,2.32,53.31,66.08,64.74949999999995,Average
7.0,2.27,96.79,69.86,66.5038000000001,Average
6.36,1.47,75.59,52.87,47.23624999999999,Struggle
1.74,2.41,50.13,75.99,73.49089999999987,Average
1.27,3.23,6.28,86.0,86.12234999999998,Excel
1.72,2.26,55.58,71.69,71.2895,Average
1.0,5.0,7.36,96.1,96.22035,Excel
1.22,2.81,65.68,87.78,81.95920000000018,Excel
4.89,4.46,71.94,59.94,62.368050000000046,Average
1.0,5.0,48.91,98.94,96.41879999999988,Excel
3.15,1.0,77.84,75.69,70.46050000000004,Average
5.83,1.51,66.83,42.61,55.705949999999966,Struggle
1.0,2.85,1.52,90.54,87.17040000000031,Excel
6.09,5.0,65.42,67.07,67.6100499999999,Average
3.03,2.11,65.42,86.25,67.22180000000002,Average
1.23,3.95,78.3,87.63,89.35249999999985,Excel
4.91,1.83,65.03,63.56,58.37164999999996,Struggle
5.22,1.02,8.59,54.68,53.15165000000009,Struggle
6.15,3.45,68.06,73.53,67.70585000000017,Average
5.85,5.0,81.13,76.56,75.08654999999993,Average
5.59,1.0,61.54,40.08,42.357999999999976,Struggle
2.41,3.12,96.02,62.74,69.07354999999988,Average
1.77,3.9,78.75,100.0,93.61575000000008,Excel
5.09,2.47,96.0,78.09,65.62549999999985,Average
6.24,4.0,52.32,71.44,69.83790000000008,Average
7.0,3.55,67.13,67.61,64.0206000000001,Average
3.93,2.87,51.14,68.61,67.97425000000003,Average
3.58,2.59,63.61,74.37,69.31640000000019,Average
6.01,4.78,93.1,68.34,72.75584999999988,Average
3.2,2.0,51.83,48.54,69.68904999999992,Average
6.91,1.98,71.81,66.75,58.67069999999999,Struggle
5.86,1.02,55.88,54.57,51.96504999999991,Struggle
3.46,4.39,70.84,75.2,74.3572500000001,Average
5.65,2.01,91.94,66.46,63.20579999999981,Average
5.9,3.77,81.15,65.61,66.79240000000009,Average
1.78,2.49,86.84,74.15,86.8650499999998,Excel
6.76,1.11,1.04,45.88,43.36995000000002,Struggle
4.0,3.24,66.83,55.49,58.32324999999988,Struggle
6.18,1.58,52.26,44.68,46.690100000000065,Struggle
3.4,4.0,71.09,94.21,89.26509999999976,Excel
6.02,1.0,71.32,36.49,39.233099999999894,Struggle
3.77,1.08,95.93,65.01,65.98115000000011,Average
1.09,1.36,9.12,84.2,80.99670000000019,Excel
6.57,2.87,85.32,63.85,58.12364999999999,Struggle
1.93,3.22,70.85,65.47,69.34364999999988,Average
2.83,2.87,61.18,78.35,69.80054999999989,Average
6.62,2.14,86.18,65.83,60.41189999999996,Struggle
6.73,1.0,46.76,47.76,45.3521500000001,Struggle
3.96,1.15,75.07,61.18,64.86930000000008,Average
4.79,2.75,54.83,78.44,70.51845000000007,Average
3.48,4.0,60.41,74.0,76.95920000000002,Excel
3.19,1.79,89.7,87.43,63.24919999999989,Average
2.56,1.0,66.5,65.72,65.80389999999994,Average
3.92,2.87,94.56,67.78,65.85540000000016,Average
5.96,2.24,66.07,61.87,60.35815000000011,Struggle
6.15,3.35,70.3,48.71,54.89099999999992,Struggle
5.94,2.59,90.42,58.5,56.20270000000001,Struggle
1.64,3.2,79.76,81.25,81.75439999999999,Excel
3.75,1.31,13.64,62.62,62.971150000000144,Average
1.22,4.92,96.33,100.0,96.71500000000002,Excel
3.92,2.87,76.8,80.96,75.62664999999981,Excel
3.94,3.89,75.75,67.0,68.76104999999997,Average
6.15,4.0,7.48,65.44,71.6936,Average
3.28,1.0,0.0,51.6,53.25510000000006,Struggle
1.56,5.0,50.37,80.71,84.4790499999997,Excel
1.82,2.41,95.66,66.58,75.4815,Excel
5.63,1.0,70.42,44.42,44.25915000000002,Struggle
5.01,5.0,73.43,66.16,69.33044999999991,Average
1.32,1.0,92.27,78.82,77.7366499999998,Excel
1.4,5.0,80.46,100.0,97.40164999999996,Excel
4.84,2.25,80.48,61.5,61.6964,Average
1.02,1.95,3.23,65.93,71.14185000000015,Average
6.03,2.87,91.7,65.66,61.5117499999999,Average
4.93,4.42,66.83,49.97,55.28369999999992,Struggle
1.05,3.18,52.66,65.0,77.28220000000017,Excel
1.91,3.57,59.58,84.26,79.78349999999999,Excel
6.95,3.04,63.39,62.45,58.24420000000007,Struggle
2.88,3.41,64.12,77.19,73.60400000000006,Average
2.77,5.0,83.53,91.12,88.88040000000008,Excel
5.5,2.87,60.89,41.71,46.00169999999996,Struggle
6.65,4.66,83.83,70.34,70.11990000000007,Average
7.0,4.18,54.56,44.28,46.54885000000001,Struggle
5.66,2.87,22.49,60.76,55.50390000000004,Struggle
2.9,3.7,75.44,66.09,71.51185000000008,Average
1.63,5.0,96.09,100.0,99.37259999999996,Excel
5.56,2.92,92.98,75.21,55.239400000000074,Struggle
4.31,5.0,98.44,94.05,89.24499999999975,Excel
3.85,4.0,82.52,83.29,84.18665000000028,Excel
6.27,3.61,7.99,78.85,54.520749999999964,Struggle
1.32,2.87,52.78,93.02,89.61240000000019,Excel
4.33,1.0,81.14,65.9,61.63359999999986,Average
1.0,1.81,8.93,65.44,69.1616500000001,Average
3.6,4.08,77.19,64.1,78.08389999999997,Excel
1.55,2.87,69.3,64.26,67.54445000000013,Average
3.92,1.1,72.13,81.44,73.80045000000017,Average
2.01,4.62,76.18,80.28,82.17645000000017,Excel
4.58,3.9,56.42,55.05,74.04729999999984,Average
5.33,2.9,67.97,73.48,63.83669999999997,Average
4.13,5.0,53.17,74.97,77.62219999999985,Excel
6.81,2.45,63.22,49.63,49.74859999999998,Struggle
3.04,3.28,55.93,62.84,75.36470000000013,Excel
2.9,3.5,30.66,64.59,68.5657500000001,Average
5.71,2.24,94.56,52.72,60.431950000000015,Struggle
1.9,3.19,74.14,86.29,84.31230000000025,Excel
6.71,2.9,29.94,53.32,52.639699999999884,Struggle
1.53,4.09,6.54,83.77,83.04370000000017,Excel
7.0,5.0,55.79,59.94,59.736600000000074,Struggle
1.75,4.0,6.72,87.14,86.55514999999987,Excel
6.27,1.8,52.6,30.65,33.792549999999935,Struggle
3.72,3.66,47.12,74.06,69.05569999999999,Average
6.77,1.74,90.33,57.61,55.71395000000006,Struggle
1.62,3.78,79.3,78.08,80.96814999999994,Excel
3.96,2.0,80.32,49.51,53.46865000000013,Struggle
6.62,2.75,60.03,45.08,47.79599999999996,Struggle
3.7,1.0,67.19,60.49,60.65129999999989,Average
4.75,1.01,6.08,61.45,57.15895000000009,Struggle
4.88,4.58,66.83,58.98,61.47519999999988,Average
3.32,4.88,92.9,88.52,87.93355000000018,Excel
4.68,1.0,74.18,56.5,49.92694999999989,Struggle
4.36,1.0,91.86,51.73,53.27354999999983,Struggle
6.45,5.0,65.9,67.32,67.79659999999981,Average
1.52,1.8,0.05,61.27,62.61640000000023,Average
2.3,2.75,87.58,97.09,74.72434999999992,Average
6.99,2.51,89.25,58.54,55.524350000000204,Struggle
5.87,3.89,3.17,40.87,48.54320000000005,Struggle
3.67,1.79,66.83,62.47,60.154099999999865,Struggle
4.81,2.64,54.22,40.62,47.980600000000024,Struggle
3.12,3.54,53.43,56.53,61.668500000000165,Average
2.2,2.35,42.71,64.24,67.44304999999984,Average
3.92,3.25,25.56,79.17,73.23865000000005,Average
3.14,1.8,98.04,63.92,65.17265000000005,Average
4.4,2.87,32.33,67.16,53.4812,Struggle
1.45,4.16,51.26,76.05,76.63724999999981,Excel
6.55,2.99,80.14,45.46,50.588199999999915,Struggle
6.92,1.94,64.48,29.47,33.71505000000004,Struggle
